sample,family,trim,inflate,retention,trim_relative,inflate_relative,relative_shift
DRR014782,f__RUG12999,7.0,0.0,0.0,1.2979726038776745e-06,0.0,-1.2979726038776745e-06
DRR014782,f__Fusobacteriaceae,7.0,1.0,0.14285714285714285,1.2979726038776745e-06,2.0491631115394318e-07,-1.0930562927237312e-06
DRR014782,f__Planococcaceae,7.0,2.0,0.2857142857142857,1.2979726038776745e-06,4.0983262230788636e-07,-8.881399815697882e-07
DRR014782,f__Chitinophagaceae,6.0,0.0,0.0,1.112547946180864e-06,0.0,-1.112547946180864e-06
DRR014782,f__Campylobacteraceae,6.0,4.0,0.6666666666666666,1.112547946180864e-06,8.196652446157727e-07,-2.9288270156509127e-07
DRR014782,f__Sphaerochaetaceae,6.0,4.0,0.6666666666666666,1.112547946180864e-06,8.196652446157727e-07,-2.9288270156509127e-07
DRR014782,f__Marinilabiliaceae,6.0,0.0,0.0,1.112547946180864e-06,0.0,-1.112547946180864e-06
DRR014782,f__Succinivibrionaceae,6.0,0.0,0.0,1.112547946180864e-06,0.0,-1.112547946180864e-06
DRR014782,f__Aeromonadaceae,5.0,0.0,0.0,9.271232884840533e-07,0.0,-9.271232884840533e-07
DRR014782,f__Vallitaleaceae,5.0,0.0,0.0,9.271232884840533e-07,0.0,-9.271232884840533e-07
DRR014782,f__Rs-D84,5.0,0.0,0.0,9.271232884840533e-07,0.0,-9.271232884840533e-07
DRR014782,f__GRL18,5.0,0.0,0.0,9.271232884840533e-07,0.0,-9.271232884840533e-07
DRR014782,f__UBA1255,5.0,3.0,0.6,9.271232884840533e-07,6.147489334618295e-07,-3.123743550222237e-07
DRR014782,f__CAG-449,5.0,0.0,0.0,9.271232884840533e-07,0.0,-9.271232884840533e-07
DRR014782,f__CAG-631,5.0,4.0,0.8,9.271232884840533e-07,8.196652446157727e-07,-1.0745804386828054e-07
DRR014782,f__Villigracilaceae,5.0,5.0,1.0,9.271232884840533e-07,1.0245815557697158e-06,9.745826728566254e-08
DRR014782,f__Metamycoplasmataceae,5.0,0.0,0.0,9.271232884840533e-07,0.0,-9.271232884840533e-07
DRR014782,f__Elusimicrobiaceae,5.0,3.0,0.6,9.271232884840533e-07,6.147489334618295e-07,-3.123743550222237e-07
DRR014782,f__Anaerofustaceae,4.0,0.0,0.0,7.416986307872426e-07,0.0,-7.416986307872426e-07
DRR014782,f__Myxococcaceae,4.0,0.0,0.0,7.416986307872426e-07,0.0,-7.416986307872426e-07
